question,answer
"下列元素中, 第一电离能最大的是

(A) $\mathrm{{Li}}$ ; (B) $\mathrm{{Be}}$ ; (C) $\mathrm{{Na}}$ ; (D) $\mathrm{{Mg}}$ 。",B
"下列氮化物中, 最稳定的是

(A) ${\mathrm{{Li}}}_{3}\mathrm{\;N}$ ; (B) ${\mathrm{{Na}}}_{3}\mathrm{\;N}$ ; (C) ${\mathrm{K}}_{3}\mathrm{\;N}$ ; (D) ${\mathrm{{Ba}}}_{3}{\mathrm{\;N}}_{2}$ 。",A
"下列过氧化物中, 最稳定的是

(A) ${\mathrm{{Li}}}_{2}{\mathrm{O}}_{2}$ ; (B) ${\mathrm{{Na}}}_{2}{\mathrm{O}}_{2}$ ; (C) ${\mathrm{K}}_{2}{\mathrm{O}}_{2}$ ; (D) ${\mathrm{{Rb}}}_{2}{\mathrm{O}}_{2}$ 。",D
"下列碳酸盐中, 热稳定性最差的是

(A) ${\mathrm{{BaCO}}}_{3}$ ; (B) ${\mathrm{{CaCO}}}_{3}$ ; (C) ${\mathrm{K}}_{2}{\mathrm{{CO}}}_{3}$ ; (D) ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 。",B
"下列化合物中, 溶解度最小的是

(A) ${\mathrm{{NaHCO}}}_{3}$ ; (B) ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ ; (C) $\mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}$ ; (D) ${\mathrm{{CaCl}}}_{2}$ 。",C
"下列化合物中, 溶解度最大的是

(A) $\mathrm{{LiF}}$ ; (B) ${\mathrm{{NaClO}}}_{4}$ ; (C) ${\mathrm{{KClO}}}_{4}$ ; (D) ${\mathrm{K}}_{2}{\mathrm{{PtCl}}}_{6}$ 。
",B
"下列离子水合时, 放出热量最多的是

(A) ${\mathrm{{Mg}}}^{2 + }$ ; (B) ${\mathrm{{Be}}}^{2 + }$ ; (C) ${\mathrm{K}}^{ + }$ ; (D) ${\mathrm{{Na}}}^{ + }$ 。",B
"下列化合物中, 具有顺磁性的是

(A) ${\mathrm{{Na}}}_{2}{\mathrm{O}}_{2}$ ; (B) $\mathrm{{SrO}}$ ; (C) ${\mathrm{{KO}}}_{2}$ ; (D) ${\mathrm{{BaO}}}_{2}$ 。",C
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
