question,answer
"当气体为 $1\mathrm{\;{mol}}$ 时,实际气体的状态方程为___",$\left( {p + \frac{a}{{V}^{2}}}\right) \left( {V - b}\right) = {RT}$
"一定体积的干燥气体从易挥发的三氯甲烷液体中通过后, 气体体积变___ , 气体分压变___。","大,小"
"某气体在 ${293}\mathrm{\;K}$ 和 ${9.97} \times {10}^{4}\mathrm{\;{Pa}}$ 时占有体积 ${0.19}{\mathrm{{dm}}}^{3}$ ,质量为 ${0.132}\mathrm{\;g}$ ,则该气体的摩尔质量约等于 $\mathrm{g} \cdot {\mathrm{{mol}}}^{-1}$ ,该气体可能是","17,${\mathrm{{NH}}}_{3}$"
"某理想气体在 ${273}\mathrm{\;K}$ 和 ${101.3}\mathrm{{kPa}}$ 时的体积为 ${0.312}{\mathrm{\;m}}^{3}$ ,则在 ${298}\mathrm{\;K}$ 和 ${98.66}\mathrm{{kPa}}$ 时其体积为___ ${\mathrm{m}}^{3}$ 。",0.350
"在相同的温度和压强下,两个容积相同的烧瓶中分别充满 ${\mathrm{O}}_{3}$ 气体和 ${\mathrm{H}}_{2}\mathrm{\;S}$ 气体。已知 ${\mathrm{H}}_{2}\mathrm{\;S}$ 的质量为 ${0.34}\mathrm{\;g}$ ,则 ${\mathrm{O}}_{3}$ 的质量为 ___$\mathrm{g}$ 。",0.48
"$\mathrm{{410K}}$ 时某容器内装有 ${0.30}\mathrm{\;{mol}}{\mathrm{N}}_{2},{0.10}\mathrm{\;{mol}}{\mathrm{O}}_{2}$ 和 ${0.10}\mathrm{\;{mol}}\mathrm{{He}}$ ,混合气体的总压为 ${100}\mathrm{{kPa}}$ 时, $\mathrm{{He}}$ 的分压为___ $\mathrm{{kPa}},{\mathrm{N}}_{2}$ 的分体积为 ${\mathrm{{dm}}}^{3}$ 。
","20,10.23"
"在 ${300}\mathrm{K},{1.013} \times {10}^{5}\mathrm{\;{Pa}}$ 时加热一敞口细颈瓶到 ${500}\mathrm{\;K}$ ,然后封闭细颈瓶口并冷却到原来的温度, 则该瓶内的压强为 ___ Pa。",${6.08} \times {10}^{4}$
"有一容积为 ${30}{\mathrm{{dm}}}^{3}$ 的高压气瓶,可以耐压 ${2.5} \times {10}^{4}\mathrm{{kPa}}$ ,则在 ${298}\mathrm{\;K}$ 时可装___kg ${\mathrm{O}}_{2}$ 而不致发生危险。",9.69
"在 ${500}{\mathrm{\;{cm}}}^{3}$ 水中加入 ${100}{\mathrm{\;{cm}}}^{3}$ 质量分数为 ${32}\%$ 、密度为 ${1.20}\mathrm{\;g} \cdot {\mathrm{{cm}}}^{-3}$ 的 ${\mathrm{{HNO}}}_{3}$ 溶液,所得的新的 ${\mathrm{{HNO}}}_{3}$ 溶液的密度为 ${1.03}\mathrm{\;g} \cdot {\mathrm{{cm}}}^{-3}$ ,则新溶液的质量分数为浓度为___ $\mathrm{{mol}} \cdot {\mathrm{{dm}}}^{-3}$ 。","6.19% ,1.01"
"在 ${26.6}\mathrm{\;g}$ 氯仿 $\left( {\mathrm{{CHCl}}}_{3}\right)$ 中溶解 ${0.402}\mathrm{\;g}$ 萘 $\left( {{\mathrm{C}}_{10}{\mathrm{H}}_{8}}\right)$ ,其沸点比氯仿的沸点高 ${0.455}\mathrm{\;K}$ ,则氯仿的沸点升高常数为___ $\mathrm{K} \cdot \mathrm{{kg}} \cdot {\mathrm{{mol}}}^{-1}$ 。",3.86
"常压下将 ${2.0}\mathrm{\;g}$ 尿素 $\left\lbrack {\mathrm{{CO}}{\left( {\mathrm{{NH}}}_{2}\right) }_{2}}\right\rbrack$ 溶入 ${75}\mathrm{\;g}$ 水中,则该溶液的凝固点为 ___ $\mathrm{K}$ (已知水的 ${K}_{\mathrm{f}} = {1.86}\mathrm{\;K} \cdot \mathrm{{kg}} \cdot {\mathrm{{mol}}}^{-1}$ )。",272.17
