question,answer
给出下列物质的化学式。锗石矿,${\mathrm{{Cu}}}_{2}\mathrm{\;S} \cdot \mathrm{{FeS}} \cdot {\mathrm{{GeS}}}_{2}$
给出下列物质的化学式。锡石矿,${\mathrm{{SnO}}}_{2}$
给出下列物质的化学式。方铅矿,$\mathrm{{PbS}}$
给出下列物质的化学式。金刚石,$\mathrm{C}$
给出下列物质的化学式。小苏打,${\mathrm{{NaHCO}}}_{3}$
给出下列物质的化学式。石英,${\mathrm{{SiO}}}_{2}$
给出下列物质的化学式。水玻璃,${\mathrm{{Na}}}_{2}{\mathrm{{SiO}}}_{3}$
给出下列物质的化学式。橄榄石,${\mathrm{{Mg}}}_{2}{\mathrm{{SiO}}}_{4}$
给出下列物质的化学式。钪硅石,${\mathrm{{Sc}}}_{2}{\mathrm{{Si}}}_{2}{\mathrm{O}}_{7}$
给出下列物质的化学式。密陀僧,$\mathrm{{PbO}}$
给出下列物质的化学式。铅黄,$\mathrm{{PbO}}$
给出下列物质的化学式。铅丹,${\mathrm{{Pb}}}_{3}{\mathrm{O}}_{4}$
"在硅酸盐中硅与氧的个数比决定硅氧四面体联结的方式, 即决定硅酸盐的结构。单个硅氧四面体结构中硅氧比为为___, 三维骨架结构中硅氧比为___。","1 : 4,1 : 3,2 : 5,1 : 2"
"欲除去 $\mathrm{{CO}}$ 中少量的 ${\mathrm{{CO}}}_{2}$ ,采取的方法是___,欲除去 ${\mathrm{{CO}}}_{2}$ 中少量的 $\mathrm{{CO}}$ ,采取的方法是___。
","气体通过 $\mathrm{{Ca}}{\left( \mathrm{{OH}}\right) }_{2}$ 溶液,气体通过酸性 ${\mathrm{{KMnO}}}_{4}$ 溶液"
"溶解度: ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ ___ ${\mathrm{{NaHCO}}}_{3}$ ,原因是",">,因为碳酸氢根可以二聚形成分子内氢键，与水缔合形成氢键的能力减弱，溶解度降低"
"将各氧化物写成盐的形式:三氧化二铅 , 四氧化三铅 , 四氧化三铁 。
","$\mathrm{{Pb}}\left( {\mathrm{{PbO}}}_{3}\right) ,{\mathrm{{Pb}}}_{2}\left( {\mathrm{{PbO}}}_{4}\right) ,\mathrm{{Fe}}{\left( {\mathrm{{FeO}}}_{2}\right) }_{2}$ 。"
"${\mathrm{{Pb}}}_{3}{\mathrm{O}}_{4}$ 呈 ___ 色,俗称 ___  ,与 ${\mathrm{{HNO}}}_{3}$ 作用时,铅有 ___ 生成 ___  ,有 ___ 生成 ___","红,铅丹, $1/3,{\mathrm{{PbO}}}_{2},2/3,\mathrm{{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ "
"将 ${\mathrm{{HClO}}}_{4},{\mathrm{H}}_{2}{\mathrm{{SiO}}}_{3},{\mathrm{H}}_{2}{\mathrm{{SO}}}_{3},{\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 按酸性由强到弱排列,顺序为",${\mathrm{{HClO}}}_{4} > {\mathrm{H}}_{2}{\mathrm{{SO}}}_{3} > {\mathrm{H}}_{3}{\mathrm{{PO}}}_{4} > {\mathrm{H}}_{2}{\mathrm{{SiO}}}_{3}$
给出下列化合物的颜色。${\mathrm{{PbCl}}}_{2}$,${\mathrm{{PbCl}}}_{2}$ 白
给出下列化合物的颜色。${\mathrm{{PbI}}}_{2}$ ,${\mathrm{{PbI}}}_{2}$ 黄
给出下列化合物的颜色。$\mathrm{{SnS}}$,$\mathrm{{SnS}}$ 棕
给出下列化合物的颜色。${\mathrm{{SnS}}}_{2}$ ,${\mathrm{{SnS}}}_{2}$ 黄
给出下列化合物的颜色。$\mathrm{{PbS}}$,$\mathrm{{PbS}}$ 黑
给出下列化合物的颜色。${\mathrm{{PbSO}}}_{4}$ ,${\mathrm{{PbSO}}}_{4}$ 白
给出下列化合物的颜色。$\mathrm{{PbO}}$ ,$\mathrm{{PbO}}$ 黄
给出下列化合物的颜色。${\mathrm{{Pb}}}_{2}{\mathrm{O}}_{3}$,${\mathrm{{Pb}}}_{2}{\mathrm{O}}_{3}$ 橙黄
