question,answer
"下面对化合物的溶解度的判断正确的是

(A) ${\mathrm{{NaHCO}}}_{3} > {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ ; (B) ${\mathrm{{NaHCO}}}_{3} < \mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}$ ;

(C) ${\mathrm{{NaHCO}}}_{3} > \mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2}$ ; (D) $\mathrm{{Ca}}{\left( {\mathrm{{HCO}}}_{3}\right) }_{2} > {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 。",C
"下列对化合物热稳定性顺序的判断, 正确的是

(A) ${\mathrm{{NaHCO}}}_{3} < {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} < {\mathrm{{CaCO}}}_{3}$ ; (B) ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3} < {\mathrm{{NaHCO}}}_{3} < {\mathrm{{CaCO}}}_{3}$ ;

(C) ${\mathrm{{CaCO}}}_{3} < {\mathrm{{NaHCO}}}_{3} < {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ ; (D) ${\mathrm{{NaHCO}}}_{3} < {\mathrm{{CaCO}}}_{3} < {\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 。",D
"下列化合物中, 不水解的是

(A) ${\mathrm{{SiCl}}}_{4}$ ; (B) ${\mathrm{{CCl}}}_{4}$ ; (C) ${\mathrm{{BCl}}}_{3}$ ; (D) ${\mathrm{{PCl}}}_{5}$ 。",B
"常温下不能稳定存在的是

(A) ${\left\lbrack {\mathrm{{GaCl}}}_{4}\right\rbrack }^{ - }$ ; (B) ${\mathrm{{SnCl}}}_{4}$ ; (C) ${\mathrm{{PbCl}}}_{4}$ ; (D) ${\mathrm{{GeCl}}}_{4}$ 。
",C
"下列氧化物中, 氧化性最强的是

(A) ${\mathrm{{SiO}}}_{2}$ ; (B) ${\mathrm{{GeO}}}_{2}$ ; (C) ${\mathrm{{SnO}}}_{2}$ ; (D) ${\mathrm{{Pb}}}_{2}{\mathrm{O}}_{3}$ 。",D
"下列化学式中, 代表金刚砂的是

(A) ${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$ ; (B) ${\mathrm{{CaC}}}_{2}$ ; (C) ${\mathrm{{SiO}}}_{2}$ ; (D) $\mathrm{{SiC}}$ 。",D
"下列物质中, 酸性最强的是

(A) ${\mathrm{H}}_{2}{\mathrm{{SnO}}}_{3}$ ; (B) $\mathrm{{Ge}}{\left( \mathrm{{OH}}\right) }_{4}$ ; (C) $\mathrm{{Sn}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (D) $\mathrm{{Ge}}{\left( \mathrm{{OH}}\right) }_{2}$ 。",B
"下列物质中, 酸性最弱的是

(A) ${\mathrm{H}}_{2}{\mathrm{{CO}}}_{3}$ ; (B) ${\mathrm{H}}_{4}{\mathrm{{SiO}}}_{4}$ ; (C) ${\mathrm{H}}_{2}{\mathrm{{SiF}}}_{6}$ ; (D) ${\mathrm{{HBF}}}_{4}$ 。",B
"下列物质中, 与水作用放出氢气的是

(A) ${\mathrm{{BCl}}}_{3}$ ; (B) ${\mathrm{{NH}}}_{3}$ ; (C) ${\mathrm{F}}_{2}$ ; (D) ${\mathrm{{SiH}}}_{4}$ 。",D
"下列单质中, 与硝酸不反应的是

(A) $\mathrm{{Pb}}$ ; (B) $\mathrm{{Sn}}$ ; (C) $\mathrm{{Si}}$ ; (D) $\mathrm{C}$ 。",C
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
