question,answer
"下列金属中, 在地壳中丰度比另外几种金属高的是

(A) $\mathrm{{Cu}}$ ; (B) $\mathrm{{Zn}}$ ; (C) $\mathrm{{Ti}}$ ; (D) $\mathrm{V}$ ",C
"下列各组元素的性质最相似的是

(A) $\mathrm{{Cr}}$ 和 $\mathrm{{Mn}}$ ; (B) $\mathrm{{Cu}}$ 和 $\mathrm{{Zn}}$ ; (C) $\mathrm{{Ti}}$ 和 $\mathrm{V}$ ; (D) $\mathrm{{Nd}}$ 和 $\mathrm{{Ta}}$",D
"下列各组元素的性质差异最大的是

(A) $\mathrm{{Ti}}$ 和 $\mathrm{V}$ ; (B) Mo 和 W; (C) $\mathrm{{Nb}}$ 和 $\mathrm{{Ta}}$ ; (D) $\mathrm{{Zr}}$ 和 $\mathrm{{Hf}}$",A
"下列单质中, 易溶于 HF 溶液的是

(A) $\mathrm{{Ti}}$ ; (B) $\mathrm{{Cu}}$ ; (C) $\mathrm{{Ni}}$ ; (D) $\mathrm{{Si}}$ 。",A
"下列金属中, 与硝酸作用的产物氧化数最低的是

(A) $\mathrm{{Sb}}$ ; (B) $\mathrm{V}$ ; (C) Mo; (D) $\mathrm{W}$ ",B
"与其他溶液颜色明显不同的是

(A) ${\mathrm{{TiCl}}}_{3}$ ; (B) ${\left\lbrack \mathrm{V}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{2 + }$ ;

(C) ${\left\lbrack \mathrm{V}{\left( {\mathrm{H}}_{2}\mathrm{O}\right) }_{6}\right\rbrack }^{3 + }$ ; (D) ${\mathrm{{KMnO}}}_{4}$",C
"常温下以液态形式存在的是

(A) ${\mathrm{{TiOSO}}}_{4}$ ; (B) ${\mathrm{{BaTiO}}}_{3}$ ; (C) ${\mathrm{{TiO}}}_{2}$ ; (D) ${\mathrm{{TiCl}}}_{4}$",D
"下列无机材料中, 具有压电效应的是

(A) ${\mathrm{{BaCO}}}_{3}$ ; (B) ${\mathrm{{BaSO}}}_{4}$ ; (C) ${\mathrm{{BaTiO}}}_{3}$ ; (D) ${\mathrm{{BaCrO}}}_{4}$",C
"下列试剂中,能将 ${\mathrm{{TiO}}}^{2 + }$ 还原为 ${\mathrm{{Ti}}}^{3 + }$ 的是

(A) ${\mathrm{H}}_{2}\mathrm{\;S}$ ; (B) ${\mathrm{{SO}}}_{2}$ ; (C) $\mathrm{{KI}}$ ; (D) $\mathrm{{Al}}$ ",D
"将钒的混合氧化物溶于硫酸, 溶液中不存在的离子是

(A) ${\mathrm{{VO}}}^{2 + }$ ; (B) ${\mathrm{V}}^{4 + }$ ; (C) ${\mathrm{V}}^{3 + }$ ; (D) ${\mathrm{{VO}}}_{2}^{ + }$ ",B
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
