question,answer
"干燥 ${\mathrm{{NH}}}_{3}$ 气体可选择的干燥剂是

(A) 浓硫酸; (B) ${\mathrm{{CaCl}}}_{2}$ ; (C) ${\mathrm{P}}_{2}{\mathrm{O}}_{5}$ ; (D) $\mathrm{{CaO}}$ 。",D
"对下列化合物的性质判断正确的是

(A) 碱性: ${\mathrm{{NH}}}_{3} > {\mathrm{N}}_{2}{\mathrm{H}}_{4} > {\mathrm{{NH}}}_{2}\mathrm{{OH}}$ ; (B) 熔点: ${\mathrm{{NH}}}_{3} > {\mathrm{N}}_{2}{\mathrm{H}}_{4} > {\mathrm{{NH}}}_{2}\mathrm{{OH}}$ ;

(C) 还原性: ${\mathrm{{NH}}}_{3} > {\mathrm{N}}_{2}{\mathrm{H}}_{4} > {\mathrm{{NH}}}_{2}\mathrm{{OH}}$ ; (D) 热稳定性: ${\mathrm{{NH}}}_{2}\mathrm{{OH}} > {\mathrm{N}}_{2}{\mathrm{H}}_{4} > {\mathrm{{NH}}}_{3}$ 。",A
"下列分子中,不存在 ${\Pi }_{3}^{4}$ 离域键的是

(A) ${\mathrm{{HNO}}}_{3}$ ; (B) ${\mathrm{{HNO}}}_{2}$ ; (C) ${\mathrm{N}}_{2}\mathrm{O}$ ; (D) ${\mathrm{N}}_{3}^{ - }$ 。",B
"下列物质中,受热可得到 ${\mathrm{{NO}}}_{2}$ 的是

(A) ${\mathrm{{NaNO}}}_{3}$ ; (B) ${\mathrm{{LiNO}}}_{3}$ ; (C) ${\mathrm{{KNO}}}_{3}$ ; (D) ${\mathrm{{NH}}}_{4}{\mathrm{{NO}}}_{3}$ 。",B
"下列物质中, 加热分解可以得到金属单质的是

(A) $\mathrm{{Hg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ ; (B) $\mathrm{{Cu}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ ; (C) ${\mathrm{{KNO}}}_{3}$ ; (D) $\mathrm{{Mg}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ 。",A
"下列物质中, 遇水后能放出气体并有沉淀生成的是

(A) $\mathrm{{Bi}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ ; (B) ${\mathrm{{Mg}}}_{3}{\mathrm{\;N}}_{2}$ ; (C) ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{{SO}}}_{4}$ ; (D) ${\mathrm{{NCl}}}_{3}$ 。",B
"下列化合物中, 沸点最低的是

(A) ${\mathrm{{PCl}}}_{3}$ ; (B) ${\mathrm{{PF}}}_{5}$ ; (C) ${\mathrm{{PCl}}}_{5}$ ; (D) ${\mathrm{{PBr}}}_{5}$ 。",B
"下列化合物中, 最易发生爆炸反应的是

(A) $\mathrm{{Pb}}{\left( {\mathrm{{NO}}}_{3}\right) }_{2}$ ; (B) $\mathrm{{Pb}}{\left( {\mathrm{N}}_{3}\right) }_{2}$ ; (C) ${\mathrm{{PbCO}}}_{3}$ ; (D) ${\mathrm{K}}_{2}{\mathrm{{CrO}}}_{4}$ 。",B
"下列铵盐中,受热分解时有 ${\mathrm{{NH}}}_{3}$ 放出的是

(A) ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{{SO}}}_{4}$ ; (B) ${\mathrm{{NH}}}_{4}{\mathrm{{NO}}}_{3}$ ; (C) ${\mathrm{{NH}}}_{4}{\mathrm{{NO}}}_{2}$ ; (D) ${\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{{Cr}}}_{2}{\mathrm{O}}_{7}$ 。",A
"下列化合物中,不能将 ${\mathrm{I}}_{2}$ 还原的是

(A) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{3}$ ; (B) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{2}$ ; (C) ${\mathrm{{HPO}}}_{3}$ ; (D) ${\mathrm{{PH}}}_{3}$ 。",C
"下列溶液中,加入 ${\mathrm{{AgNO}}}_{3}$ 溶液生成的沉淀颜色最浅的是

(A) ${\mathrm{{NaPO}}}_{3}$ ; (B) ${\mathrm{{NaH}}}_{2}{\mathrm{{PO}}}_{3}$ ; (C) ${\mathrm{{Na}}}_{3}{\mathrm{{PO}}}_{4}$ ; (D) ${\mathrm{{Na}}}_{2}{\mathrm{{HPO}}}_{4}$ 。
",A
"下列酸中为一元酸的是

(A) ${\mathrm{H}}_{4}{\mathrm{P}}_{2}{\mathrm{O}}_{7}$ ; (B) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{2}$ ; (C) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{3}$ ; (D) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ 。",B
"下列物质的水解产物中既有酸又有碱的是

(A) ${\mathrm{{NCl}}}_{3}$ ; (B) ${\mathrm{{PCl}}}_{3}$ ; (C) ${\mathrm{{POCl}}}_{3}$ ; (D) ${\mathrm{{Mg}}}_{3}{\mathrm{\;N}}_{2}$ 。
",A
"下列物质中, 不溶于氢氧化钠溶液的是

(A) $\mathrm{{Sb}}{\left( \mathrm{{OH}}\right) }_{3}$ ; (B) $\mathrm{{Sb}}{\left( \mathrm{{OH}}\right) }_{5}$ ; (C) ${\mathrm{H}}_{3}{\mathrm{{AsO}}}_{4}$ ; (D) $\mathrm{{Bi}}{\left( \mathrm{{OH}}\right) }_{3}$ 。",D
"下列物质中, 与盐酸反应能产生氯气的是

(A) ${\mathrm{H}}_{3}{\mathrm{{AsO}}}_{4}$ ; (B) ${\mathrm{H}}_{3}{\mathrm{{SbO}}}_{4}$ ; (C) ${\mathrm{{Bi}}}_{2}{\mathrm{O}}_{3}$ ; (D) ${\mathrm{{NaBiO}}}_{3}$ 。",D
