question,answer
"下列氢化物中, 最稳定的是

(A) $\mathrm{{LiH}}$ ; (B) $\mathrm{{NaH}}$ ; (C) $\mathrm{{KH}}$ ; (D) $\mathrm{{RbH}}$",A
"下列共价单键中, 键能最大的是

(A) $\mathrm{F} - \mathrm{F}$ ; (B) $\mathrm{N} - \mathrm{H}$ ; (C) $\mathrm{H} - \mathrm{H}$ ; (D) $\mathrm{O} - \mathrm{H}$",C
"下列物质中, 还原能力最强的是

(A) HI; (B) $\mathrm{{NaH}}$ ; (C) $\mathrm{{Na}}$ ; (D) $\mathrm{{LiH}}$ ",C
"下列化合物与水混合后, 水溶液碱性最强的是

(A) $\mathrm{{HCl}}$ ; (B) $\mathrm{{KH}}$ ; (C) ${\mathrm{{XeF}}}_{4}$ ; (D) $\mathrm{{KF}}$",B
"合成出来的第一个稀有气体化合物是

(A) ${\mathrm{{XeF}}}_{2}$ ; (B) ${\mathrm{{XeF}}}_{4}$ ; (C) ${\mathrm{{XeF}}}_{6}$ ; (D) $\operatorname{Xe}\left\lbrack {\mathrm{{PtF}}}_{6}\right\rbrack$ ",D
"下列气体中, 沸点最低的是

(A) 氢; (B) 氦; (C) 氮; (D) 氧。",B
"下列分子或离子中, 中心原子的轨道杂化方式相同的是

(A) ${\mathrm{{XeO}}}_{3}$ 和 ${\mathrm{{XeOF}}}_{4}$ ; (B) ${\mathrm{{XeF}}}_{2}$ 和 ${\mathrm{{XeF}}}_{4}$ ;

(C) ${\mathrm{{XeOF}}}_{4}$ 和 ${\mathrm{{XeO}}}_{6}^{4 - }$ ; (D) ${\mathrm{{XeF}}}_{4}$ 和 ${\mathrm{{XeO}}}_{4}$",C
"下列氢化物中, 与水不发生氧化还原反应的是

(A) ${\mathrm{B}}_{2}{\mathrm{H}}_{6}$ ; (B) ${\mathrm{{SiH}}}_{4}$ ; (C) ${\mathrm{{PH}}}_{3}$ ; (D) $\mathrm{{KH}}$",C
"下列制备方法中,能够得到比较纯净 ${\mathrm{H}}_{2}$ 的是

(A) 稀盐酸与锌金属作用; (B) 电解 ${25}\%$ 的 $\mathrm{{NaOH}}$ 溶液;

(C) 催化裂解天然气; (D) 水蒸气通过红热的炭层。",B
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
