question,answer
给出下列物质的化学式。硼镁矿,${\mathrm{{Mg}}}_{2}{\mathrm{\;B}}_{2}{\mathrm{O}}_{5} \cdot {\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。铝土矿,${\mathrm{{Al}}}_{2}{\mathrm{O}}_{3} \cdot n{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。刚玉,$\alpha - {\mathrm{{Al}}}_{2}{\mathrm{O}}_{3}$
给出下列物质的化学式。冰晶石,${\mathrm{{Na}}}_{3}{\left\lbrack {\mathrm{{AlF}}}_{6}\right\rbrack }_{ \circ }$
" 硼酸为___状晶体, ${\mathrm{B\left( {OH}\right) }}_{3}$ 分子间以 ___ 键结合,层与层之间以 ___ 结合,故硼酸晶体具有___性,可作___剂。","片, 氢, 分子间力, 解理, 润滑"
"${\mathrm{{GaCl}}}_{2}$ 是 ___ 磁性物质,结构式应写成","逆, $\mathrm{{Ga}}\left\lbrack {\mathrm{{GaCl}}}_{4}\right\rbrack$ "
"硼砂的化学式为 ___ , 其为 ___ 元碱。","${\mathrm{{Na}}}_{2}{\mathrm{\;B}}_{4}{\mathrm{O}}_{7} \cdot {10}{\mathrm{H}}_{2}\mathrm{O}$ ,二"
判断 (填 $>$ 或 $<$ )化合物的热稳定性 ${\mathrm{{GaCl}}}_{3}$  ___ ${\mathrm{{TlCl}}}_{3}$ ;,>
判断 (填 $>$ 或 $<$ )酸性 $\mathrm{{Al}}{\left( \mathrm{{OH}}\right) }_{3}$ ___ $\mathrm{{Ga}}{\left( \mathrm{{OH}}\right) }_{3}$ ;,<
"判断 (填 $>$ 或 $<$ )酸性溶液中,氧化性 ${\mathrm{{Ga}}}_{2}{\mathrm{O}}_{3}$ ___ ${\mathrm{{Tl}}_{2}{\mathrm{O}}_{3}}$ ;
",<
"${\mathrm{{TlCl}}}_{3}$ 见光易分解,溶解度 ___  ,与一价阳离子的氯化物 ___ 相似; 而 ${\mathrm{{Tl}}}^{ + }$ 的氢氧化物溶解度 ___ . ${\mathrm{{Tl}}}^{ + }$ 易形成矾,与 ___ 的离子相似
","小, $\mathrm{{AgCl}}$ ,大, $\mathrm{K}$ (或 $\mathrm{{Rb}}$ )"
"放在手中能够融化的金属有___,以液相存在的温度范围最大的金属是 ___","Cs 和 $\mathrm{{Ga}},\mathrm{{Ga}}$ "
"硼酸与乙醇生成硼酸三乙酯的化学式为 ___  , 其火焰为 ___  色, 以此可以鉴定硼酸。","$\mathrm{B}{\left( {\mathrm{{OC}}}_{2}{\mathrm{H}}_{5}\right) }_{3}$ ,绿"
"${\mathrm{\;B}}_{2}{\mathrm{O}}_{3}$ 与金属氧化物共熔生成的硼珠有特征的颜色,称为硼珠试验,如 $\mathrm{{CoO}}$ 的硼珠 $\mathrm{{Co}}{\left( {\mathrm{{BO}}}_{2}\right) }_{2}$ 为深蓝色,则 $\mathrm{{CuO}}$ 的硼珠为 ___ 色, $\mathrm{{MnO}}$ 的硼珠为 ___ 色, $\mathrm{{NiO}}$ 的硼珠为色, ${\mathrm{{Cr}}}_{2}{\mathrm{O}}_{3}$ 的硼珠为 ___ 色, ${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}$ 的硼珠为 ___ 色。","蓝, 紫, 绿, 绿, 黄"
,
"",
"",
"",
"",
"",
"",
