question,answer
"水溶液中没有独立存在的 ${\mathrm{H}}^{ + },{\mathrm{H}}^{ + }$ 的存在形式为 ___
",${\mathrm{H}}_{3}{\mathrm{O}}^{ + }$
"氢的同位素有 3 种, 其名称分别是 ___ 、___ 、___ , 符号分别为___、___ 、_____ 。","氕, 氘, 氚, H, D, T"
"工业上用 通过红热的___来获得 ${\mathrm{H}}_{2}$ ,分离产物中 ${\mathrm{H}}_{2}$ 的方法是将___ 连同 一起通过红热的___,然后将混合物在 $2 \times {10}^{6}\mathrm{\;{Pa}}$ 下用吸收掉___后得到 ${\mathrm{H}}_{2}$ ","水蒸气,炭层,水煤气,水蒸气,氧化铁,水, ${\mathrm{{CO}}}_{2}$"
"稀有气体中, 温度最低的液体冷冻剂为___; 电离能最低、能安全地放电作为光源是 ___ ;最常用作惰性气氛的是 ___","He, Xe, Ar"
由三氧化氙制高氙酸钠的化学反应方程式是 ___,${\mathrm{O}}_{3} + {\mathrm{{XeO}}}_{3} + 4\mathrm{{NaOH}} + 6{\mathrm{H}}_{2}\mathrm{O} = {\mathrm{{Na}}}_{4}{\mathrm{{XeO}}}_{6} \cdot 8{\mathrm{H}}_{2}\mathrm{O} + {\mathrm{O}}_{2}$
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
