question,answer
给出下列物质的化学式。黄铜矿,${\mathrm{{CuFeS}}}_{2}$
给出下列物质的化学式。辉铜矿,${\mathrm{{Cu}}}_{2}\mathrm{S}$
给出下列物质的化学式。赤铜矿,${\mathrm{{Cu}}}_{2}\mathrm{O}$
给出下列物质的化学式。黑铜矿,$\mathrm{{CuO}}$
给出下列物质的化学式。孔雀石,${\mathrm{{CuCO}}}_{3} \cdot \mathrm{{Cu}}{\left( \mathrm{{OH}}\right) }_{2}$
给出下列物质的化学式。胆矾,${\mathrm{{CuSO}}}_{4} \cdot 5{\mathrm{H}}_{2}\mathrm{O}$
给出下列物质的化学式。闪锌矿,$\mathrm{{ZnS}}$
给出下列物质的化学式。菱锌矿,${\mathrm{{ZnCO}}}_{3}$
给出下列物质的化学式。朱砂,$\mathrm{{HgS}}$
给出下列物质的化学式。锌白,$\mathrm{{ZnO}}$
给出下列物质的化学式。立德粉,$\mathrm{{ZnS}} \cdot {\mathrm{{BaSO}}}_{4}$
给出下列物质的化学式。镉黄,$\mathrm{{CdS}}$
给出下列物质的化学式。甘汞,${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$
给出下列物质的化学式。升汞,${\mathrm{{HgCl}}}_{2}$
"给出组成合金的金属: 黄铜 , 青铜 , 康铜","$\mathrm{{Cu}} - \mathrm{{Zn}},\mathrm{{Cu}} - \mathrm{{Zn}} - \mathrm{{Sn}},\mathrm{{Cu}} - \mathrm{{Ni}}$"
"${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ 空间构型为___,中心原子采取的轨道杂化类型为___。用氨水处理 ${\mathrm{{Hg}}}_{2}{\mathrm{{Cl}}}_{2}$ 得到的沉淀是___。","直线形, $\mathrm{{sp}};\mathrm{{Hg}}\left( {\mathrm{{NH}}}_{2}\right) \mathrm{{Cl}} + \mathrm{{Hg}}$"
"黄色 $\mathrm{{HgO}}$ 在一定温度下加热一段时间转化为红色的 $\mathrm{{HgO}}$ ,这是因为___;$\mathrm{{ZnO}}$ 长时间加热后将由白色变成黄色,这是由于在加热过程中___。","晶粒大小发生了变化, 晶体出现了缺陷"
