question,answer
" 制备 ${\mathrm{F}}_{2}$ 实际所采用的方法是

(A) 电解 $\mathrm{{HF}}$ ; (B) 电解 ${\mathrm{{CaF}}}_{2}$ ; (C) 电解 ${\mathrm{{KHF}}}_{2}$ ; (D) 电解 ${\mathrm{{NH}}}_{4}\mathrm{\;F}$ ",C
"下列各对试剂混合后能产生氯气的是

(A) $\mathrm{{NaCl}}$ 与浓硫酸; (B) $\mathrm{{NaCl}}$ 与 ${\mathrm{{MnO}}}_{2}$ ;

(C) $\mathrm{{NaCl}}$ 与浓硝酸; (D) ${\mathrm{{KMnO}}}_{4}$ 与浓盐酸",D
"卤素单质中,在 $\mathrm{{NaOH}}$ 溶液中不发生歧化反应的是

(A) ${\mathrm{F}}_{2}$ ; (B) ${\mathrm{{Cl}}}_{2}$ ; (C) ${\mathrm{{Br}}}_{2}$ ; (D) ${\mathrm{I}}_{2}$ ",A
"下列反应中, 不可能按反应方程式进行的是

(A) $2{\mathrm{{NaNO}}}_{3} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $= {\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} + 2{\mathrm{{HNO}}}_{3}$

(B) $2\mathrm{{NaI}} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $= {\mathrm{{Na}}}_{2}{\mathrm{{SO}}}_{4} + 2\mathrm{{HI}}$

(C) ${\mathrm{{CaF}}}_{2} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4}$ (浓) $= {\mathrm{{CaSO}}}_{4} + 2\mathrm{{HF}}$

(D) $2{\mathrm{{NH}}}_{3} + {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} = {\left( {\mathrm{{NH}}}_{4}\right) }_{2}{\mathrm{{SO}}}_{4}$",B
"下列含氧酸中, 酸性最弱的是

(A) $\mathrm{{HClO}}$ ; (B) $\mathrm{{HIO}}$ ; (C) ${\mathrm{{HIO}}}_{3}$ ; (D) $\mathrm{{HBrO}}$ ",B
"下列含氧酸中, 酸性最强的是

(A) ${\mathrm{{HClO}}}_{3}$ ; (B) $\mathrm{{HClO}}$ ; (C) ${\mathrm{{HIO}}}_{3}$ ; (D) $\mathrm{{HIO}}$ ",A
"下列酸中, 酸性由强至弱排列顺序正确的是

(A) $\mathrm{{HF}} > \mathrm{{HCl}} > \mathrm{{HBr}} > \mathrm{{HI}}$ ; (B) $\mathrm{{HI}} > \mathrm{{HBr}} > \mathrm{{HCl}} > \mathrm{{HF}}$ ;

(C) $\mathrm{{HClO}} > {\mathrm{{HClO}}}_{2} > {\mathrm{{HClO}}}_{3} > {\mathrm{{HClO}}}_{4}$ ; (D) ${\mathrm{{HIO}}}_{4} > {\mathrm{{HClO}}}_{4} > {\mathrm{{HBrO}}}_{4}$ ",B
" 下列有关卤素的论述不正确的是

(A) 溴可由氯作氧化剂制得; (B) 卤素单质都可由电解熔融卤化物得到;

(C) ${\mathrm{I}}_{2}$ 是最强的还原剂; (D) ${\mathrm{F}}_{2}$ 是最强的氧化剂。",C
"下列含氧酸的氧化性递变顺序不正确的是

(A) ${\mathrm{{HClO}}}_{4} > {\mathrm{H}}_{2}{\mathrm{{SO}}}_{4} > {\mathrm{H}}_{3}{\mathrm{{PO}}}_{4}$ ; (B) ${\mathrm{{HBrO}}}_{4} > {\mathrm{{HClO}}}_{4} > {\mathrm{H}}_{5}{\mathrm{{IO}}}_{6}$ ;

(C) $\mathrm{{HClO}} > {\mathrm{{HClO}}}_{3} > {\mathrm{{HClO}}}_{4}$ ; (D) ${\mathrm{{HBrO}}}_{3} > {\mathrm{{HClO}}}_{3} > {\mathrm{{HIO}}}_{3}$ 。",B
"下列物质中, 关于热稳定性判断正确的是

(A) $\mathrm{{HF}} < \mathrm{{HCl}} < \mathrm{{HBr}} < \mathrm{{HI}}$ ; (B) $\mathrm{{HF}} > \mathrm{{HCl}} > \mathrm{{HBr}} > \mathrm{{HI}}$ ;

(C) $\mathrm{{HClO}} > {\mathrm{{HClO}}}_{2} > {\mathrm{{HClO}}}_{3} > {\mathrm{{HClO}}}_{4}$ ; (D) $\mathrm{{HCl}} > {\mathrm{{HClO}}}_{4} > {\mathrm{{HBrO}}}_{4} > {\mathrm{{HIO}}}_{4}$ 。",B
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
