question,answer
"下列过渡金属中, 密度最大的是

(A) $\mathrm{W}$ ; (B) Os; (C) $\operatorname{Ir}$ ; (D) $\mathrm{{Au}}$ 。",B
"下列金属中, 最活泼的是

(A) $\mathrm{{Fe}}$ ; (B) $\mathrm{{Co}}$ ; (C) $\mathrm{{Ni}}$ ; (D) $\mathrm{{Pd}}$ 。",A
"下列配离子中, 能将 KI 氧化的是

(A) ${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ ; (B) ${\left\lbrack \mathrm{{Fe}}{\left( \mathrm{{SCN}}\right) }_{6}\right\rbrack }^{3 - }$ ;

(C) ${\left\lbrack \mathrm{{Co}}{\left( {\mathrm{{NH}}}_{3}\right) }_{6}\right\rbrack }^{3 + }$ ; (D) ${\left\lbrack \mathrm{{Ni}}{\left( \mathrm{{CN}}\right) }_{6}\right\rbrack }^{3 - }$ 。",B
"能用 $\mathrm{{NaOH}}$ 溶液分离的离子对是

(A) ${\mathrm{{Cr}}}^{3 + }$ 和 ${\mathrm{{Al}}}^{3 + }$ ; (B) ${\mathrm{{Cu}}}^{2 + }$ 和 ${\mathrm{{Zn}}}^{2 + }$ ;

(C) ${\mathrm{{Cr}}}^{3 + }$ 和 ${\mathrm{{Fe}}}^{3 + }$ ; (D) ${\mathrm{{Cu}}}^{2 + }$ 和 ${\mathrm{{Fe}}}^{3 + }$ 。",C
"下列化合物中, 与浓盐酸作用没有氯气放出的是

(A) ${\mathrm{{Pb}}}_{2}{\mathrm{O}}_{3}$ ; (B) ${\mathrm{{Fe}}}_{2}{\mathrm{O}}_{3}$ ; (C) ${\mathrm{{Co}}}_{2}{\mathrm{O}}_{3}$ ; (D) ${\mathrm{{Ni}}}_{2}{\mathrm{O}}_{3}$ 。",B
"下列化合物中, 受热脱水不生成 $\mathrm{{HCl}}$ 气体的是

(A) ${\mathrm{{MgCl}}}_{2} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$ ; (B) ${\mathrm{{NiCl}}}_{2} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$ ; (C) ${\mathrm{{CoCl}}}_{2} \cdot 6{\mathrm{H}}_{2}\mathrm{O}$ ; (D) ${\mathrm{{CuCl}}}_{2} \cdot 2{\mathrm{H}}_{2}\mathrm{O}$ 。",C
"下列新制出的沉淀在空气中放置, 颜色不发生变化的是

(A) $\mathrm{{Mn}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (B) $\mathrm{{Fe}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (C) $\mathrm{{Co}}{\left( \mathrm{{OH}}\right) }_{2}$ ; (D) $\mathrm{{Ni}}{\left( \mathrm{{OH}}\right) }_{2}$ 。",D
"与 ${\mathrm{{Na}}}_{2}\mathrm{\;S}$ 溶液作用均生成黑色沉淀的一对离子是

(A) ${\mathrm{{Fe}}}^{2 + },{\mathrm{{Co}}}^{2 + }$ ; (B) ${\mathrm{{Fe}}}^{2 + },{\mathrm{{Mn}}}^{2 + }$ ; (C) ${\mathrm{{Ni}}}^{2 + },{\mathrm{{Zn}}}^{2 + }$ ; (D) ${\mathrm{{Cu}}}^{2 + },{\mathrm{{Zn}}}^{2 + }$ 。",A
"可以形成记忆合金的一对金属单质是

(A) $\mathrm{{Ni}}$ 与 $\mathrm{{Fe}}$ ; (B) $\mathrm{{Ni}}$ 与 $\mathrm{{Ti}}$ ; (C) $\mathrm{{Cu}}$ 与 $\mathrm{{Ni}}$ ; (D) $\mathrm{{Ti}}$ 与 ${\mathrm{{Co}}}$",B
"下列金属单质中, 耐碱能力最强的是

(A) $\mathrm{{Cu}}$ ; (B) $\mathrm{{Cr}}$ ; (C) $\mathrm{{Ni}}$ ; (D) $\mathrm{{Pt}}$ 。",C
"下列气体中,可由 ${\mathrm{{PdCl}}}_{2}$ 溶液检出的是

(A) ${\mathrm{{CO}}}_{2}$ ; (B) $\mathrm{{CO}}$ ; (C) ${\mathrm{O}}_{3}$ ; (D) ${\mathrm{{NO}}}_{2}$",B
"下列配位化合物中, 可以由简单盐溶液与 KCN 溶液直接得到的是

(A) ${\mathrm{K}}_{3}\left\lbrack {\mathrm{{Fe}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack$ ; (B) ${\mathrm{K}}_{4}\left\lbrack {\mathrm{{Co}}{\left( \mathrm{{CN}}\right) }_{6}}\right\rbrack$ ;

(C) ${\mathrm{K}}_{2}\left\lbrack {\mathrm{{Ni}}{\left( \mathrm{{CN}}\right) }_{4}}\right\rbrack$ ; (D) ${\mathrm{K}}_{2}\left\lbrack {\mathrm{{Cu}}{\left( \mathrm{{CN}}\right) }_{4}}\right\rbrack$",C
,
"",
"",
"",
"",
"",
"",
"",
"",
"",
