question,answer
"下列关于 ${\mathrm{{BF}}}_{3}$ 的叙述中,正确的是

(A) ${\mathrm{{BF}}}_{3}$ 易形成二聚体; (B) ${\mathrm{{BF}}}_{3}$ 为离子化合物;

(C) ${\mathrm{{BF}}}_{3}$ 为路易斯酸; (D) ${\mathrm{{BF}}}_{3}$ 常温下为液体。",C
"下列金属单质中, 熔点最低的是

(A) $\mathrm{{Cu}}$ ; (B) $\mathrm{{Zn}}$ ; (C) $\mathrm{{Na}}$ ; (D) $\mathrm{{Ga}}$ 。
",D
"下列化合物中, 熔点最低的是

(A) ${\mathrm{{BCl}}}_{3}$ ; (B) ${\mathrm{{CCl}}}_{4}$ ; (C) ${\mathrm{{SiCl}}}_{4}$ ; (D) ${\mathrm{{SnCl}}}_{4}$ 。",A
"下列物质中,水解并能放出 ${\mathrm{H}}_{2}$ 的是

(A) ${\mathrm{B}}_{2}{\mathrm{H}}_{6}$ ; (B) ${\mathrm{N}}_{2}{\mathrm{H}}_{4}$ ; (C) ${\mathrm{{NH}}}_{3}$ ; (D) ${\mathrm{{PH}}}_{3}$ 。",A
"下列含氧酸中, 属于一元酸的是

(A) ${\mathrm{H}}_{3}{\mathrm{{AsO}}}_{3}$ ; (B) ${\mathrm{H}}_{3}{\mathrm{{BO}}}_{3}$ ; (C) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{3}$ ; (D) ${\mathrm{H}}_{2}{\mathrm{{CO}}}_{3}$ 。",B
"下列物质中, 酸性最弱的是

(A) ${\mathrm{H}}_{3}{\mathrm{{PO}}}_{3}$ ; (B) ${\mathrm{H}}_{2}\mathrm{\;S}$ ; (C) ${\mathrm{H}}_{3}{\mathrm{{BO}}}_{3}$ ; (D) ${\mathrm{H}}_{5}{\mathrm{{IO}}}_{6}$ 。",C
"下列金属中, 与硝酸反应得到产物的氧化数最低的是

(A) In; (B) $\mathrm{{Tl}}$ ; (C) $\mathrm{{Fe}}$ ; (D) $\mathrm{{Bi}}$ 。",B
"${\mathrm{{BF}}}_{3}$ 通入过量的 ${\mathrm{{Na}}}_{2}{\mathrm{{CO}}}_{3}$ 溶液,得到的产物是

(A) $\mathrm{{HF}}$ 和 ${\mathrm{H}}_{3}{\mathrm{{BO}}}_{3}$ ; (B) ${\mathrm{{HBF}}}_{4}$ 和 ${\mathrm{H}}_{3}{\mathrm{{BO}}}_{3}$ ;

(C) ${\mathrm{{NaBF}}}_{4}$ 和 $\mathrm{{NaB}}{\left( \mathrm{{OH}}\right) }_{4}$ ; (D) $\mathrm{{HF}}$ 和 ${\mathrm{B}}_{2}{\mathrm{O}}_{3}$ 。",C
"液态的三氯化铝经常以 ${\left( {\mathrm{{AlCl}}}_{3}\right) }_{2}$ 形式存在,分子中 $\mathrm{{Al}}$ 原子的杂化方式为

(A) ${\mathrm{{sp}}}^{2}$ ; (B) ${\mathrm{{sp}}}^{3}$ ; (C) ${\operatorname{sp}}^{3}\mathrm{\;d}$ ; (D) ${\mathrm{{dsp}}}^{2}$ 。",B
"下列化合物中, 氧化性与惰性电子对效应有关的是

(A) ${\mathrm{I}}_{2}{\mathrm{O}}_{5}$ ; (B) ${\mathrm{{Tl}}}_{2}{\mathrm{O}}_{3}$ ; (C) ${\mathrm{{Mn}}}_{2}{\mathrm{O}}_{7}$ ; (D) ${\mathrm{{CrO}}}_{3}$ 。",B
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
"",
